	sym	shp65_Vehicle_1	shp65_Vehicle_2	shp65_Vehicle_3	shp65_TNF_1	shp65_TNF_2	shp65_TNF_3
ENSG00000197635	DPP4	32	20	41	40	32	35
ENSG00000197647	ZNF433	50	29	39	46	42	24
ENSG00000197653	DNAH10	31	23	41	156	30	54
ENSG00000197694	SPTAN1	3792	3998	4763	9114	4872	4160
ENSG00000197696	NMB	477	541	582	421	604	460
ENSG00000197702	PARVA	2051	1624	2150	3362	2211	1659
ENSG00000197712	FAM114A1	765	629	785	814	859	521
ENSG00000197713	RPE	501	339	439	455	401	324
ENSG00000197714	ZNF460	428	387	489	924	649	421
ENSG00000197724	PHF2	140	116	146	301	138	110
ENSG00000197728	RPS26	1934	1364	2076	1373	1726	1758
ENSG00000197746	PSAP	16096	17722	20009	26568	20328	17149
ENSG00000197747	S100A10	390	216	377	605	363	369
ENSG00000197756	RPL37A	10567	8202	8580	7861	8584	6998
ENSG00000197757	HOXC6	49	47	65	161	51	47
ENSG00000197763	TXNRD3	194	221	192	185	199	158
ENSG00000197766	CFD	6072	19217	7420	6213	15322	6032
ENSG00000197771	MCMBP	544	414	614	604	575	462
ENSG00000197774	EME2	70	129	99	133	130	67
ENSG00000197776	KLHDC1	52	32	43	31	39	33
ENSG00000197779	ZNF81	95	66	87	181	135	88
ENSG00000197780	TAF13	497	282	673	480	407	438
ENSG00000197782	ZNF780A	119	112	127	169	164	82
ENSG00000197785	ATAD3A	240	273	260	266	289	231
ENSG00000197798	FAM118B	209	166	189	178	213	151
ENSG00000197808	ZNF461	74	47	65	98	87	41
ENSG00000197815	na	18	22	25	63	21	26
ENSG00000197818	SLC9A8	104	93	150	274	174	160
ENSG00000197837	HIST4H4	492	411	493	360	555	526
ENSG00000197841	ZNF181	117	84	96	112	138	86
ENSG00000197852	FAM212B	298	322	333	393	296	247
ENSG00000197857	ZNF44	119	164	147	190	195	115
ENSG00000197858	GPAA1	612	604	570	1116	647	556
ENSG00000197860	SGTB	131	120	166	189	165	101
ENSG00000197863	ZNF790	83	77	67	82	100	51
ENSG00000197872	FAM49A	43	32	41	78	56	24
ENSG00000197879	MYO1C	2558	2405	2535	5133	2816	2301
ENSG00000197885	NKIRAS1	216	188	236	194	305	187
ENSG00000197892	KIF13B	90	54	73	119	74	60
ENSG00000197894	ADH5	1957	1834	1746	1866	2260	1342
ENSG00000197903	HIST1H2BK	114	111	105	123	107	114
ENSG00000197905	TEAD4	24	13	21	21	31	10
ENSG00000197912	SPG7	608	892	778	948	1010	672
ENSG00000197928	ZNF677	99	102	104	153	117	77
ENSG00000197930	ERO1L	668	672	672	778	962	511
ENSG00000197933	ZNF823	41	35	25	21	40	17
ENSG00000197937	ZNF347	143	100	141	143	122	108
ENSG00000197943	PLCG2	146	148	123	72	191	132
ENSG00000197948	FCHSD1	21	35	35	28	42	22
ENSG00000197951	ZNF71	69	66	61	84	72	56
ENSG00000197956	S100A6	10613	9819	8371	8036	9933	8033
ENSG00000197958	RPL12	5651	3500	4311	4322	4214	3458
ENSG00000197961	ZNF121	783	646	923	1061	1032	662
ENSG00000197965	MPZL1	926	875	1032	1123	1197	804
ENSG00000197969	VPS13A	626	382	584	1568	910	486
ENSG00000197971	MBP	80	88	90	130	96	75
ENSG00000197982	C1orf122	324	463	345	270	433	263
ENSG00000197989	SNHG12	701	695	710	407	936	1015
ENSG00000198000	NOL8	180	136	146	342	200	127
ENSG00000198001	IRAK4	127	88	126	130	128	64
ENSG00000198015	MRPL42	726	423	623	700	677	410
ENSG00000198018	ENTPD7	107	92	138	143	153	119
ENSG00000198026	ZNF335	135	132	144	228	175	141
ENSG00000198034	RPS4X	8099	5915	6570	6048	7038	5366
ENSG00000198040	ZNF84	187	148	154	219	220	104
ENSG00000198042	MAK16	258	189	275	285	286	198
ENSG00000198046	ZNF667	41	29	33	56	45	29
ENSG00000198053	SIRPA	20	13	46	118	29	34
ENSG00000198055	GRK6	194	218	163	236	202	145
ENSG00000198060	MARCH5	229	231	257	439	296	209
ENSG00000198074	AKR1B10	32	58	50	35	68	29
ENSG00000198081	ZBTB14	90	96	106	74	96	59
ENSG00000198087	CD2AP	217	188	211	259	278	139
ENSG00000198089	SFI1	35	59	35	59	54	35
ENSG00000198093	ZNF649	87	67	99	85	103	65
ENSG00000198105	ZNF248	83	54	56	132	105	45
ENSG00000198108	CHSY3	101	96	98	115	117	81
ENSG00000198113	TOR4A	16	37	21	35	35	15
ENSG00000198121	LPAR1	953	615	813	727	979	856
ENSG00000198130	HIBCH	624	471	770	793	861	577
ENSG00000198131	ZNF544	328	283	334	290	315	225
ENSG00000198142	SOWAHC	196	122	187	280	240	144
ENSG00000198146	ZNF770	484	336	481	889	653	395
ENSG00000198155	ZNF876P	43	22	36	38	39	20
ENSG00000198157	HMGN5	11	10	4	40	20	18
ENSG00000198160	MIER1	389	320	385	417	476	247
ENSG00000198162	MAN1A2	1383	858	1206	1442	1408	885
ENSG00000198168	SVIP	54	60	50	71	84	45
ENSG00000198169	ZNF251	46	50	46	76	47	46
ENSG00000198171	DDRGK1	502	592	537	375	574	396
ENSG00000198176	TFDP1	517	412	489	790	570	351
ENSG00000198182	ZNF607	51	51	49	51	43	33
ENSG00000198189	HSD17B11	163	108	140	112	180	103
ENSG00000198198	SZT2	331	264	396	1238	407	372
ENSG00000198203	SULT1C2	14	7	8	31	21	18
ENSG00000198205	ZXDA	23	26	36	50	50	21
ENSG00000198208	RPS6KL1	40	61	21	42	58	28
ENSG00000198218	QRICH1	640	525	654	886	752	564
ENSG00000198231	DDX42	411	361	426	872	585	319
ENSG00000198242	RPL23A	2383	1935	2047	1836	1930	1692
ENSG00000198252	STYX	929	561	936	1038	945	679
ENSG00000198258	UBL5	685	756	648	556	754	565
ENSG00000198265	HELZ	1238	834	1559	2281	1510	1162
ENSG00000198270	TMEM116	96	62	110	76	74	88
ENSG00000198276	UCKL1	116	119	104	221	143	107
ENSG00000198298	ZNF485	45	32	35	44	49	34
ENSG00000198301	SDAD1	389	289	324	441	403	224
ENSG00000198315	ZKSCAN8	443	263	464	781	546	354
ENSG00000198324	FAM109A	51	101	50	74	96	50
ENSG00000198331	HYLS1	57	42	37	86	61	39
ENSG00000198342	ZNF442	47	40	40	183	120	48
ENSG00000198346	ZNF813	88	46	62	76	61	41
ENSG00000198355	PIM3	556	856	651	822	1203	731
ENSG00000198356	ASNA1	643	485	633	452	578	622
ENSG00000198363	ASPH	21233	20291	23964	23340	30104	16532
ENSG00000198369	SPRED2	35	47	59	165	102	58
ENSG00000198373	WWP2	168	163	193	380	236	165
ENSG00000198380	GFPT1	4299	3353	5380	6920	4880	4041
ENSG00000198382	UVRAG	802	628	881	1036	852	631
ENSG00000198393	ZNF26	108	69	91	167	102	67
ENSG00000198399	ITSN2	324	215	301	560	417	216
ENSG00000198408	MGEA5	1183	989	1197	1680	1337	950
ENSG00000198420	TCAF1	525	405	613	995	707	419
ENSG00000198429	ZNF69	41	27	27	48	37	30
ENSG00000198431	TXNRD1	2888	3316	3293	2974	4365	2421
ENSG00000198440	ZNF583	103	67	96	101	124	82
ENSG00000198453	ZNF568	106	115	98	144	138	78
ENSG00000198455	ZXDB	112	125	125	175	165	88
ENSG00000198464	ZNF480	130	85	93	212	165	55
ENSG00000198466	ZNF587	143	102	158	285	154	124
ENSG00000198467	TPM2	1637	1902	1406	1169	1758	1115
ENSG00000198468	FLVCR1-AS1	23	18	18	30	21	17
ENSG00000198478	SH3BGRL2	51	43	53	69	67	34
ENSG00000198482	ZNF808	235	159	289	375	196	160
ENSG00000198483	ANKRD35	144	211	250	216	201	163
ENSG00000198492	YTHDF2	452	369	437	723	526	439
ENSG00000198496	NBR2	31	24	36	48	40	17
ENSG00000198498	TMA16	146	157	125	140	202	112
ENSG00000198521	ZNF43	165	91	127	180	200	62
ENSG00000198522	GPN1	198	155	156	226	198	157
ENSG00000198538	ZNF28	185	125	160	173	201	99
ENSG00000198542	ITGBL1	67	98	97	67	146	117
ENSG00000198546	ZNF511	44	44	39	40	42	40
ENSG00000198551	ZNF627	128	120	145	108	126	87
ENSG00000198554	WDHD1	80	50	51	70	92	44
ENSG00000198556	ZNF789	29	34	46	70	43	26
ENSG00000198561	CTNND1	1805	1294	2208	2366	1819	1697
ENSG00000198563	DDX39B	123	149	155	353	220	136
ENSG00000198585	NUDT16	501	461	509	603	552	397
ENSG00000198586	TLK1	273	179	275	629	363	203
ENSG00000198589	LRBA	8650	5403	9636	11886	9106	7728
ENSG00000198598	MMP17	48	50	44	87	49	33
ENSG00000198604	BAZ1A	320	238	273	604	445	242
ENSG00000198612	COPS8	952	653	808	823	974	592
ENSG00000198624	CCDC69	4751	3439	4035	4456	4114	3273
ENSG00000198625	MDM4	363	282	528	885	451	380
ENSG00000198642	KLHL9	543	436	612	798	652	418
ENSG00000198646	NCOA6	113	61	103	499	123	131
ENSG00000198648	STK39	1604	1294	1459	1639	1622	1081
ENSG00000198663	C6orf89	1312	1130	1324	1338	1254	1091
ENSG00000198668	CALM1	3840	2893	4790	3547	4195	3117
ENSG00000198677	TTC37	3596	2730	3061	4209	4529	2411
ENSG00000198680	TUSC1	111	185	160	105	151	98
ENSG00000198682	PAPSS2	866	801	734	1263	1210	636
ENSG00000198689	SLC9A6	1061	705	1111	1244	1034	914
ENSG00000198690	FAN1	334	273	299	394	383	224
ENSG00000198692	EIF1AY	406	333	385	285	486	216
ENSG00000198695	MT-ND6	433	145	476	1214	240	387
ENSG00000198700	IPO9	719	570	731	1201	799	547
ENSG00000198707	CEP290	50	29	38	129	102	21
ENSG00000198712	MT-CO2	4179	640	5090	10834	1736	3762
ENSG00000198715	GLMP	314	262	283	254	275	270
ENSG00000198718	FAM179B	337	211	288	389	336	232
ENSG00000198720	ANKRD13B	240	319	365	418	332	317
ENSG00000198721	ECI2	824	832	802	754	970	581
ENSG00000198722	UNC13B	2125	1723	2343	2873	2275	1828
ENSG00000198727	MT-CYB	4064	801	4564	14191	2071	4095
ENSG00000198728	LDB1	187	215	219	268	249	188
ENSG00000198730	CTR9	318	203	319	649	345	247
ENSG00000198734	F5	102	64	153	436	119	132
ENSG00000198736	MSRB1	119	101	90	191	107	88
ENSG00000198740	ZNF652	475	303	474	671	485	346
ENSG00000198742	SMURF1	411	399	427	702	556	417
ENSG00000198744	na	1760	189	2756	1157	495	1857
ENSG00000198746	GPATCH3	71	69	63	105	85	63
ENSG00000198752	CDC42BPB	717	844	899	1679	1061	718
ENSG00000198753	PLXNB3	31	61	45	187	48	57
ENSG00000198755	RPL10A	5177	4399	4649	4013	5216	3803
ENSG00000198763	MT-ND2	736	188	893	5022	551	962
ENSG00000198783	ZNF830	56	66	73	68	81	54
ENSG00000198786	MT-ND5	2484	764	3173	13609	1770	3149
ENSG00000198791	CNOT7	691	467	690	700	737	494
ENSG00000198792	TMEM184B	343	333	504	1175	483	518
ENSG00000198793	MTOR	1156	891	1283	2171	1257	1067
ENSG00000198794	SCAMP5	1226	951	1370	1726	1141	1261
ENSG00000198795	ZNF521	19	14	18	18	18	10
ENSG00000198796	ALPK2	178	208	265	361	422	250
ENSG00000198797	BRINP2	42	45	75	49	58	54
