	sym	shp65_Vehicle_1	shp65_Vehicle_2	shp65_Vehicle_3	shp65_TNF_1	shp65_TNF_2	shp65_TNF_3
ENSG00000104517	UBR5	2105	1635	2222	3141	2569	1736
ENSG00000104518	GSDMD	127	173	80	158	171	89
ENSG00000104522	TSTA3	367	284	267	294	270	245
ENSG00000104524	PYCRL	205	239	199	227	223	176
ENSG00000104529	EEF1D	933	847	751	635	872	686
ENSG00000104549	SQLE	1274	746	1339	1373	1094	966
ENSG00000104611	SH2D4A	127	90	151	199	143	103
ENSG00000104613	INTS10	838	780	885	811	986	626
ENSG00000104626	ERI1	196	146	170	233	220	122
ENSG00000104635	SLC39A14	601	561	784	1398	1139	875
ENSG00000104643	MTMR9	395	285	486	457	505	378
ENSG00000104660	LEPROTL1	298	195	266	265	256	212
ENSG00000104671	DCTN6	254	189	239	246	291	156
ENSG00000104679	R3HCC1	337	395	388	323	388	300
ENSG00000104687	GSR	1121	1307	1230	1186	1735	947
ENSG00000104689	TNFRSF10A	184	190	229	172	212	180
ENSG00000104691	UBXN8	223	137	198	142	181	120
ENSG00000104695	PPP2CB	392	371	425	651	698	444
ENSG00000104714	ERICH1	30	17	27	58	39	23
ENSG00000104722	NEFM	23	19	21	15	30	14
ENSG00000104723	TUSC3	253	285	365	220	358	290
ENSG00000104728	ARHGEF10	70	86	95	177	104	84
ENSG00000104731	KLHDC4	210	234	166	205	226	142
ENSG00000104738	MCM4	186	200	216	201	232	152
ENSG00000104756	KCTD9	241	160	220	479	328	220
ENSG00000104763	ASAH1	5899	4863	6248	6229	7545	4609
ENSG00000104765	BNIP3L	3979	2507	3792	4465	3724	2708
ENSG00000104774	MAN2B1	598	610	624	817	696	600
ENSG00000104805	NUCB1	1135	1426	1351	1524	1572	1086
ENSG00000104812	GYS1	1732	1699	1943	2509	1828	1817
ENSG00000104823	ECH1	491	497	410	1318	531	437
ENSG00000104824	HNRNPL	560	392	671	925	617	479
ENSG00000104825	NFKBIB	59	67	68	105	115	70
ENSG00000104835	SARS2	20	16	14	23	21	15
ENSG00000104852	SNRNP70	452	998	598	746	1018	423
ENSG00000104853	CLPTM1	512	360	748	1839	536	783
ENSG00000104856	RELB	36	35	35	154	114	71
ENSG00000104859	CLASRP	37	85	56	83	73	31
ENSG00000104863	LIN7B	23	33	14	21	33	14
ENSG00000104866	PPP1R37	204	317	237	265	321	206
ENSG00000104870	FCGRT	1059	1300	975	1139	1351	870
ENSG00000104872	PIH1D1	241	330	178	215	286	212
ENSG00000104880	ARHGEF18	23	32	21	25	34	17
ENSG00000104883	PEX11G	28	42	28	30	36	42
ENSG00000104884	ERCC2	126	123	123	214	139	126
ENSG00000104885	DOT1L	58	55	52	202	77	57
ENSG00000104886	PLEKHJ1	373	492	336	332	485	313
ENSG00000104889	RNASEH2A	54	60	44	53	60	55
ENSG00000104897	SF3A2	34	41	43	96	47	48
ENSG00000104904	OAZ1	6225	5081	6192	5107	5915	5578
ENSG00000104907	TRMT1	172	219	130	164	200	146
ENSG00000104915	STX10	501	613	418	414	570	444
ENSG00000104936	DMPK	522	722	571	509	723	484
ENSG00000104946	TBC1D17	103	72	117	209	92	94
ENSG00000104957	CCDC130	133	141	127	159	150	107
ENSG00000104960	PTOV1	135	170	121	270	170	119
ENSG00000104964	AES	1320	1283	1186	1109	1457	1146
ENSG00000104969	SGTA	380	369	380	467	445	345
ENSG00000104973	MED25	52	62	66	169	65	72
ENSG00000104976	SNAPC2	58	87	87	87	71	56
ENSG00000104979	C19orf53	559	522	540	405	496	449
ENSG00000104980	TIMM44	536	613	612	529	616	480
ENSG00000104983	CCDC61	28	44	16	19	27	12
ENSG00000105011	ASF1B	47	28	33	30	48	35
ENSG00000105048	TNNT1	21	18	16	13	28	8
ENSG00000105053	VRK3	199	178	206	247	215	189
ENSG00000105058	FAM32A	625	562	483	494	618	469
ENSG00000105063	PPP6R1	366	378	365	754	444	309
ENSG00000105072	C19orf44	23	25	14	33	28	17
ENSG00000105085	MED26	45	29	39	67	44	35
ENSG00000105088	OLFM2	328	122	237	673	140	213
ENSG00000105127	AKAP8	193	217	213	272	231	143
ENSG00000105135	ILVBL	1425	1194	1125	1426	1224	1066
ENSG00000105136	ZNF419	159	257	176	152	239	219
ENSG00000105137	SYDE1	95	136	112	196	184	116
ENSG00000105171	POP4	497	425	503	398	480	392
ENSG00000105173	CCNE1	19	21	21	23	32	17
ENSG00000105176	URI1	801	825	787	731	1021	565
ENSG00000105185	PDCD5	538	396	487	456	616	376
ENSG00000105186	ANKRD27	274	201	231	331	261	192
ENSG00000105193	RPS16	232	103	237	492	255	200
ENSG00000105197	TIMM50	926	702	869	788	834	762
ENSG00000105202	FBL	306	321	279	332	339	254
ENSG00000105204	DYRK1B	86	57	95	173	89	95
ENSG00000105220	GPI	2003	1511	2470	4402	2390	2488
ENSG00000105221	AKT2	2925	2759	3070	3643	3137	2807
ENSG00000105223	PLD3	1601	1810	1878	2486	2169	1603
ENSG00000105227	PRX	43	56	34	53	70	39
ENSG00000105229	PIAS4	196	222	231	225	251	184
ENSG00000105245	NUMBL	147	183	178	340	196	129
ENSG00000105248	CCDC94	134	116	109	132	135	90
ENSG00000105254	TBCB	449	414	493	432	534	453
ENSG00000105258	POLR2I	71	28	79	71	58	64
ENSG00000105270	CLIP3	68	47	68	551	101	139
ENSG00000105281	SLC1A5	941	843	1044	1819	1013	861
ENSG00000105287	PRKD2	22	21	27	73	28	30
ENSG00000105290	APLP1	25	32	24	32	25	25
ENSG00000105298	CACTIN	122	175	129	135	160	110
ENSG00000105321	CCDC9	24	28	34	26	43	24
ENSG00000105323	HNRNPUL1	843	561	921	1387	798	651
ENSG00000105325	FZR1	164	251	189	263	317	170
ENSG00000105327	BBC3	80	179	117	211	300	144
ENSG00000105329	TGFB1	20	21	25	112	21	26
ENSG00000105339	DENND3	60	66	54	182	112	49
ENSG00000105341	ATP5SL	414	339	359	387	391	363
ENSG00000105355	PLIN3	495	565	528	655	582	549
ENSG00000105357	MYH14	40	72	65	90	85	65
ENSG00000105364	MRPL4	318	269	329	316	331	264
ENSG00000105372	RPS19	14116	14630	12176	10892	14135	10967
ENSG00000105373	GLTSCR2	1030	1392	870	1005	1372	834
ENSG00000105379	ETFB	1202	1326	970	1162	1259	969
ENSG00000105393	BABAM1	277	254	267	250	263	251
ENSG00000105397	TYK2	458	491	462	830	605	454
ENSG00000105401	CDC37	912	1018	816	669	1028	682
ENSG00000105402	NAPA	379	444	443	624	546	401
ENSG00000105404	RABAC1	680	793	529	555	735	533
ENSG00000105419	MEIS3	88	130	116	101	128	114
ENSG00000105426	PTPRS	858	896	971	3293	1070	914
ENSG00000105429	MEGF8	420	476	541	1883	509	590
ENSG00000105438	KDELR1	421	257	476	775	459	370
ENSG00000105443	CYTH2	153	125	138	187	166	144
ENSG00000105447	GRWD1	498	613	535	575	637	518
ENSG00000105472	CLEC11A	40	98	37	31	92	40
ENSG00000105483	CARD8	110	91	107	193	147	115
ENSG00000105486	LIG1	59	79	58	82	90	84
ENSG00000105497	ZNF175	83	71	48	116	83	51
ENSG00000105499	PLA2G4C	58	65	33	91	70	45
ENSG00000105514	RAB3D	39	28	54	144	38	50
ENSG00000105516	DBP	63	74	35	53	43	46
ENSG00000105518	TMEM205	128	121	119	133	161	115
ENSG00000105519	CAPS	31	38	35	38	26	21
ENSG00000105520	na	127	87	157	359	127	162
ENSG00000105552	BCAT2	401	358	403	395	447	365
ENSG00000105556	MIER2	118	150	141	251	127	153
ENSG00000105559	PLEKHA4	115	48	66	132	62	53
ENSG00000105568	PPP2R1A	2345	2616	2475	3397	2715	2319
ENSG00000105576	TNPO2	247	237	233	766	299	240
ENSG00000105583	WDR83OS	300	224	317	231	273	302
ENSG00000105607	GCDH	490	563	528	522	496	460
ENSG00000105612	DNASE2	271	275	268	305	297	270
ENSG00000105617	LENG1	71	80	69	55	77	41
ENSG00000105618	PRPF31	222	227	230	224	237	180
ENSG00000105619	TFPT	35	44	38	36	46	23
ENSG00000105640	RPL18A	4273	2485	3330	3665	2947	2937
ENSG00000105643	ARRDC2	23	41	20	27	54	26
ENSG00000105655	ISYNA1	17	16	17	38	39	21
ENSG00000105656	ELL	49	65	70	98	83	57
ENSG00000105662	CRTC1	26	27	19	81	27	30
ENSG00000105669	COPE	1164	1163	982	870	1207	978
ENSG00000105671	DDX49	853	914	933	814	968	819
ENSG00000105676	ARMC6	351	461	362	433	443	301
ENSG00000105677	TMEM147	522	474	540	472	592	463
ENSG00000105698	USF2	474	428	467	495	557	373
ENSG00000105699	LSR	46	29	34	38	36	14
ENSG00000105700	KXD1	271	219	268	300	233	250
ENSG00000105701	FKBP8	2276	2356	2000	1837	2300	1811
ENSG00000105705	SUGP1	150	146	123	129	153	107
ENSG00000105708	ZNF14	80	80	89	89	78	61
ENSG00000105711	SCN1B	31	62	24	31	56	28
ENSG00000105722	ERF	65	75	68	76	64	65
ENSG00000105723	GSK3A	156	142	150	185	162	142
ENSG00000105726	ATP13A1	248	261	292	798	331	317
ENSG00000105732	ZNF574	86	87	76	98	100	68
ENSG00000105738	SIPA1L3	92	104	137	315	122	115
ENSG00000105750	ZNF85	48	33	36	50	44	23
ENSG00000105755	ETHE1	99	95	79	100	88	108
ENSG00000105771	SMG9	58	88	65	132	93	62
ENSG00000105778	AVL9	813	597	856	831	767	631
ENSG00000105792	CFAP69	32	24	34	57	31	23
ENSG00000105793	GTPBP10	275	185	259	222	295	155
ENSG00000105810	CDK6	825	633	1054	1397	1136	825
ENSG00000105819	PMPCB	686	644	727	879	929	544
ENSG00000105821	DNAJC2	95	76	95	180	132	64
ENSG00000105829	BET1	207	223	244	239	278	186
ENSG00000105835	NAMPT	1583	1013	1499	2324	2422	1235
ENSG00000105849	TWISTNB	205	189	168	232	292	146
ENSG00000105854	PON2	435	370	495	489	567	332
ENSG00000105856	HBP1	679	635	706	774	855	584
ENSG00000105865	DUS4L	54	56	62	63	73	42
ENSG00000105866	SP4	70	28	61	64	50	34
ENSG00000105875	WDR91	77	65	68	126	80	61
ENSG00000105879	CBLL1	196	111	181	228	194	132
ENSG00000105887	MTPN	1634	964	1763	2334	1688	1181
ENSG00000105926	MPP6	583	319	475	436	520	347
ENSG00000105928	DFNA5	74	59	69	131	66	60
ENSG00000105939	ZC3HAV1	661	468	750	1147	713	587
ENSG00000105948	TTC26	89	66	73	66	78	61
ENSG00000105953	OGDH	1204	1188	1477	3237	1685	1449
ENSG00000105963	ADAP1	42	17	56	33	38	38
ENSG00000105968	H2AFV	553	375	405	648	493	327
ENSG00000105971	CAV2	4862	3780	4571	5001	5862	3577
ENSG00000105974	CAV1	15140	9410	14946	19829	15129	11323
ENSG00000105976	MET	451	271	310	590	427	216
ENSG00000105983	LMBR1	337	173	370	522	387	321
ENSG00000105993	DNAJB6	430	295	469	589	466	307
ENSG00000106003	LFNG	99	110	68	252	212	117
ENSG00000106004	HOXA5	116	111	127	113	154	76
ENSG00000106009	BRAT1	331	510	427	485	482	322
ENSG00000106012	IQCE	57	77	103	124	107	77
ENSG00000106028	SSBP1	685	506	645	490	665	483
ENSG00000106034	CPED1	1099	575	1041	1462	1180	882
ENSG00000106049	HIBADH	795	671	856	992	939	678
ENSG00000106052	TAX1BP1	1036	632	953	1533	1088	691
ENSG00000106070	GRB10	277	292	320	374	321	264
ENSG00000106077	ABHD11	115	129	165	164	152	132
ENSG00000106080	FKBP14	614	466	569	720	677	411
ENSG00000106086	PLEKHA8	175	184	210	272	226	179
ENSG00000106089	STX1A	20	23	27	21	26	19
ENSG00000106100	NOD1	104	97	94	131	119	72
ENSG00000106105	GARS	864	673	934	1505	985	709
ENSG00000106123	EPHB6	59	80	50	83	82	65
ENSG00000106144	CASP2	98	82	151	277	140	137
ENSG00000106153	CHCHD2	2192	1928	1929	1858	2142	1676
ENSG00000106211	HSPB1	247	199	281	357	298	251
ENSG00000106244	PDAP1	433	384	391	463	465	320
ENSG00000106245	BUD31	225	219	239	186	248	170
ENSG00000106246	PTCD1	52	28	37	46	29	36
ENSG00000106258	CYP3A5	43	44	40	125	56	31
ENSG00000106261	ZKSCAN1	763	528	686	1483	859	653
ENSG00000106263	EIF3B	2190	2647	2245	2365	2884	1887
ENSG00000106266	SNX8	146	149	160	268	220	168
ENSG00000106268	NUDT1	53	53	46	59	56	26
ENSG00000106290	TAF6	75	64	71	195	89	71
ENSG00000106299	WASL	216	114	264	465	224	184
ENSG00000106305	AIMP2	279	242	281	239	265	193
ENSG00000106330	MOSPD3	47	33	56	71	45	44
ENSG00000106333	PCOLCE	271	279	244	435	327	221
ENSG00000106344	RBM28	321	275	347	538	327	246
ENSG00000106346	USP42	47	33	44	85	65	49
ENSG00000106348	IMPDH1	1339	1640	1719	1766	1732	1664
ENSG00000106351	AGFG2	196	245	270	204	236	194
ENSG00000106355	LSM5	211	190	195	154	248	139
ENSG00000106366	SERPINE1	374	423	676	1452	1264	985
ENSG00000106367	AP1S1	632	750	645	473	693	475
ENSG00000106392	C1GALT1	280	198	257	363	333	196
ENSG00000106397	PLOD3	294	361	389	897	451	375
ENSG00000106399	RPA3	89	102	83	69	93	75
ENSG00000106400	ZNHIT1	2276	2349	2052	1768	2261	2016
ENSG00000106404	CLDN15	31	31	29	61	38	25
ENSG00000106415	GLCCI1	105	53	119	255	94	114
ENSG00000106443	PHF14	220	175	184	225	234	130
ENSG00000106459	NRF1	81	61	59	98	82	64
ENSG00000106460	TMEM106B	600	493	566	726	775	381
ENSG00000106462	EZH2	47	61	56	49	81	47
ENSG00000106477	CEP41	72	59	85	80	85	62
ENSG00000106479	ZNF862	37	52	52	98	60	51
ENSG00000106483	SFRP4	22	54	27	19	53	28
ENSG00000106484	MEST	4313	2618	6961	5397	4488	5428
ENSG00000106524	ANKMY2	295	252	248	286	350	195
ENSG00000106537	TSPAN13	257	172	184	449	294	134
ENSG00000106546	AHR	174	255	251	304	535	194
ENSG00000106554	CHCHD3	1294	1068	1164	1117	1107	907
ENSG00000106571	GLI3	49	51	81	262	65	61
ENSG00000106588	PSMA2	119	84	131	95	155	76
ENSG00000106591	MRPL32	436	482	484	454	589	358
ENSG00000106603	COA1	409	371	384	518	413	361
ENSG00000106605	BLVRA	279	228	259	365	266	162
ENSG00000106608	URGCP	601	664	629	644	765	500
ENSG00000106609	TMEM248	585	612	604	762	775	505
ENSG00000106610	STAG3L4	128	98	104	127	144	98
ENSG00000106615	RHEB	735	797	826	642	998	549
ENSG00000106617	PRKAG2	185	157	161	259	252	129
ENSG00000106624	AEBP1	20	25	23	70	49	23
ENSG00000106628	POLD2	1721	1255	1376	1613	1390	1338
ENSG00000106635	BCL7B	184	149	230	261	191	168
ENSG00000106636	YKT6	821	751	783	953	852	644
ENSG00000106638	TBL2	598	564	577	545	615	463
ENSG00000106665	CLIP2	145	152	107	168	167	113
ENSG00000106682	EIF4H	3416	2804	3503	3595	3425	2883
ENSG00000106683	LIMK1	122	117	155	172	143	123
ENSG00000106688	SLC1A1	622	674	647	636	802	507
ENSG00000106692	FKTN	417	289	418	528	508	324
ENSG00000106701	FSD1L	20	16	9	37	24	14
ENSG00000106723	SPIN1	561	427	530	804	663	444
ENSG00000106733	NMRK1	140	98	120	123	137	94
ENSG00000106771	TMEM245	2709	2511	3479	4195	3663	2840
ENSG00000106772	PRUNE2	3109	1747	2900	6403	2732	2341
ENSG00000106780	MEGF9	1278	956	1653	2446	1628	1299
ENSG00000106799	TGFBR1	613	416	704	802	664	491
ENSG00000106803	SEC61B	552	354	545	457	540	497
ENSG00000106804	C5	144	130	173	201	224	145
ENSG00000106823	ECM2	264	151	262	317	246	149
ENSG00000106829	TLE4	67	79	58	87	81	62
ENSG00000106853	PTGR1	807	752	689	703	901	538
ENSG00000106868	SUSD1	181	177	221	299	264	173
ENSG00000106948	AKNA	459	455	565	1074	545	499
ENSG00000106976	DNM1	30	32	30	53	28	18
ENSG00000106991	ENG	79	68	79	490	110	109
ENSG00000106992	AK1	91	86	66	84	74	80
ENSG00000106993	CDC37L1	289	286	320	263	353	224
ENSG00000107020	PLGRKT	188	159	196	158	222	151
ENSG00000107021	TBC1D13	244	231	308	424	203	260
ENSG00000107036	RIC1	675	588	866	1048	881	684
ENSG00000107077	KDM4C	80	92	102	153	97	71
ENSG00000107099	DOCK8	25	13	48	79	25	33
ENSG00000107104	KANK1	4396	3680	4835	5369	4701	3642
ENSG00000107130	NCS1	166	132	199	193	171	164
ENSG00000107140	TESK1	128	109	154	233	154	130
ENSG00000107164	FUBP3	336	327	378	452	428	272
ENSG00000107175	CREB3	480	456	438	543	571	487
ENSG00000107185	RGP1	412	309	489	641	408	388
ENSG00000107186	MPDZ	386	275	418	700	509	335
ENSG00000107201	DDX58	97	52	64	118	114	55
ENSG00000107223	EDF1	1342	1242	1120	867	1404	1029
ENSG00000107249	GLIS3	238	154	261	383	228	263
ENSG00000107262	BAG1	237	360	226	262	376	152
ENSG00000107263	RAPGEF1	624	516	735	1375	647	628
ENSG00000107281	NPDC1	46	85	61	139	88	51
ENSG00000107290	SETX	1635	1125	1444	2057	1801	1056
ENSG00000107317	PTGDS	213	286	250	374	284	262
ENSG00000107331	ABCA2	323	360	443	1636	474	433
ENSG00000107338	SHB	23	28	39	49	44	39
ENSG00000107341	UBE2R2	299	261	319	704	392	299
ENSG00000107362	ABHD17B	153	137	165	172	186	138
ENSG00000107371	EXOSC3	97	115	142	131	157	106
ENSG00000107372	ZFAND5	561	487	595	988	812	465
ENSG00000107404	DVL1	600	714	530	616	703	428
ENSG00000107438	PDLIM1	107	58	116	311	77	86
ENSG00000107443	CCNJ	76	91	80	142	123	71
ENSG00000107521	HPS1	508	524	618	825	500	543
ENSG00000107537	PHYH	771	522	837	922	766	553
ENSG00000107551	RASSF4	648	797	659	863	1000	540
ENSG00000107554	DNMBP	199	186	247	444	243	181
ENSG00000107560	RAB11FIP2	188	177	219	343	310	162
ENSG00000107562	CXCL12	75	126	66	88	152	53
ENSG00000107566	ERLIN1	272	205	271	590	305	251
ENSG00000107581	EIF3A	3438	2756	3106	5154	3955	2329
ENSG00000107593	PKD2L1	238	280	284	339	261	212
ENSG00000107611	CUBN	81	77	107	132	92	80
ENSG00000107614	TRDMT1	50	25	46	66	50	33
ENSG00000107625	DDX50	567	440	480	455	629	333
ENSG00000107643	MAPK8	211	137	199	241	240	147
ENSG00000107651	SEC23IP	484	351	587	741	527	422
ENSG00000107669	ATE1	540	409	490	689	641	387
ENSG00000107672	NSMCE4A	202	258	223	193	252	148
ENSG00000107679	PLEKHA1	231	178	220	408	331	186
ENSG00000107731	UNC5B	82	90	109	242	102	108
ENSG00000107738	C10orf54	281	273	292	380	309	272
ENSG00000107745	MICU1	997	802	934	940	1055	829
ENSG00000107758	PPP3CB	319	244	416	963	469	355
ENSG00000107771	CCSER2	910	508	837	1493	887	731
ENSG00000107779	BMPR1A	694	470	705	757	821	519
ENSG00000107789	MINPP1	264	190	160	273	332	150
ENSG00000107796	ACTA2	200	184	345	296	237	334
ENSG00000107798	LIPA	3028	1973	3085	3313	3017	2316
ENSG00000107815	C10orf2	71	75	80	158	95	48
ENSG00000107816	LZTS2	382	521	332	516	424	352
ENSG00000107819	SFXN3	475	485	532	612	581	493
ENSG00000107821	KAZALD1	57	100	60	38	106	32
ENSG00000107829	FBXW4	135	124	139	158	167	150
ENSG00000107833	NPM3	86	122	89	85	123	100
ENSG00000107854	TNKS2	704	628	749	1180	1020	637
ENSG00000107862	GBF1	938	927	1331	2770	1290	1186
ENSG00000107863	ARHGAP21	801	623	721	1056	1063	626
ENSG00000107864	CPEB3	40	29	51	74	45	29
ENSG00000107872	FBXL15	58	151	77	73	112	75
ENSG00000107874	CUEDC2	412	414	380	387	456	375
ENSG00000107882	SUFU	64	67	80	203	87	90
ENSG00000107890	ANKRD26	168	75	116	235	169	74
ENSG00000107897	ACBD5	334	289	337	421	390	212
ENSG00000107902	LHPP	94	53	58	67	68	43
ENSG00000107929	LARP4B	475	339	493	831	462	349
ENSG00000107937	GTPBP4	1029	965	1016	1018	1200	745
ENSG00000107938	EDRF1	108	112	147	211	136	104
ENSG00000107949	BCCIP	573	404	564	565	653	415
ENSG00000107951	MTPAP	370	309	425	464	394	302
ENSG00000107957	SH3PXD2A	2327	1794	2779	11031	2735	2857
ENSG00000107959	PITRM1	1616	1265	1976	2243	1751	1679
ENSG00000107960	OBFC1	329	325	311	256	370	221
ENSG00000107968	MAP3K8	58	38	42	162	190	73
ENSG00000107984	DKK1	38	57	55	54	92	51
ENSG00000108001	EBF3	73	104	103	125	133	68
ENSG00000108010	GLRX3	875	651	779	773	894	578
ENSG00000108021	FAM208B	1302	942	1475	2337	1699	1065
ENSG00000108039	XPNPEP1	2186	1960	2500	2462	2198	2172
ENSG00000108055	SMC3	220	158	161	366	236	103
ENSG00000108061	SHOC2	1472	882	1701	1821	1463	1096
ENSG00000108064	TFAM	395	342	352	396	485	253
ENSG00000108091	CCDC6	493	338	526	1224	573	492
ENSG00000108094	CUL2	493	325	454	785	590	333
ENSG00000108100	CCNY	737	593	796	796	729	698
ENSG00000108106	UBE2S	53	115	87	55	128	62
ENSG00000108107	RPL28	749	436	498	935	580	472
ENSG00000108175	ZMIZ1	139	178	232	1205	232	209
ENSG00000108179	PPIF	1163	1625	1488	2910	1846	1412
ENSG00000108187	PBLD	68	58	84	119	101	72
ENSG00000108219	TSPAN14	1227	1029	1627	3270	1337	1440
ENSG00000108239	TBC1D12	229	221	200	196	315	161
ENSG00000108256	NUFIP2	1423	1095	1525	2216	1945	1196
ENSG00000108262	GIT1	301	321	349	570	400	361
ENSG00000108298	RPL19	9313	8129	7375	7167	8268	6125
ENSG00000108306	FBXL20	396	279	607	734	440	421
ENSG00000108312	UBTF	486	446	470	477	498	341
ENSG00000108344	PSMD3	1382	1693	1545	1859	1833	1373
ENSG00000108349	CASC3	377	356	456	735	474	397
ENSG00000108370	RGS9	24	20	26	30	32	24
ENSG00000108381	ASPA	451	373	506	566	630	334
ENSG00000108384	RAD51C	146	108	139	134	126	98
ENSG00000108389	MTMR4	832	877	1025	1097	958	823
ENSG00000108395	TRIM37	503	418	547	597	647	402
ENSG00000108406	DHX40	353	298	339	312	471	230
ENSG00000108423	TUBD1	41	29	51	46	54	31
ENSG00000108424	KPNB1	2658	2070	2525	3494	2609	1896
ENSG00000108433	GOSR2	159	126	135	184	145	112
ENSG00000108439	PNPO	642	447	878	712	565	664
ENSG00000108443	RPS6KB1	347	184	353	414	348	222
ENSG00000108448	TRIM16L	187	234	198	186	278	189
ENSG00000108465	CDK5RAP3	137	241	152	183	233	144
ENSG00000108468	CBX1	326	246	342	365	360	233
ENSG00000108469	RECQL5	79	106	96	138	114	79
ENSG00000108474	PIGL	70	78	64	114	117	59
ENSG00000108479	GALK1	128	157	122	124	136	113
ENSG00000108506	INTS2	390	298	400	401	406	292
ENSG00000108509	CAMTA2	65	79	91	387	87	102
ENSG00000108510	MED13	1592	920	1775	2804	1792	1309
ENSG00000108511	HOXB6	410	393	424	467	330	254
ENSG00000108515	ENO3	24	15	22	38	31	16
ENSG00000108518	PFN1	1334	1120	1552	1278	1213	1230
ENSG00000108523	RNF167	262	217	311	431	284	242
ENSG00000108528	SLC25A11	998	911	868	990	1036	901
ENSG00000108551	RASD1	488	803	491	769	874	477
ENSG00000108557	RAI1	25	30	39	158	44	36
ENSG00000108559	NUP88	713	563	719	674	724	473
ENSG00000108561	C1QBP	1952	2442	2238	1620	2657	1774
ENSG00000108578	BLMH	237	181	275	418	289	185
ENSG00000108582	CPD	3556	3392	4781	5758	5364	3694
ENSG00000108587	GOSR1	275	209	310	441	357	247
ENSG00000108588	CCDC47	1074	969	1090	1494	1243	843
ENSG00000108590	MED31	101	52	82	81	85	68
ENSG00000108591	DRG2	222	225	236	303	262	205
ENSG00000108592	FTSJ3	447	444	420	424	448	338
ENSG00000108599	AKAP10	446	388	538	625	546	393
ENSG00000108604	SMARCD2	1399	1501	1404	1363	1572	1084
ENSG00000108622	ICAM2	45	26	40	59	57	38
ENSG00000108639	SYNGR2	291	247	296	532	359	324
ENSG00000108641	B9D1	56	76	56	58	65	54
ENSG00000108651	UTP6	530	482	529	460	550	358
ENSG00000108654	DDX5	2208	2500	2353	6418	4370	2112
ENSG00000108666	C17orf75	79	97	80	108	96	70
ENSG00000108669	CYTH1	66	77	50	125	79	45
ENSG00000108671	PSMD11	939	683	967	1217	965	825
ENSG00000108679	LGALS3BP	4508	5686	6664	8164	6351	6492
ENSG00000108691	CCL2	22	14	48	261	463	311
ENSG00000108733	PEX12	108	95	124	97	91	78
ENSG00000108771	DHX58	59	108	65	92	99	75
ENSG00000108773	KAT2A	81	105	75	288	124	74
ENSG00000108774	RAB5C	343	224	357	450	312	284
ENSG00000108784	NAGLU	217	266	228	405	266	200
ENSG00000108786	HSD17B1	52	44	69	50	38	52
ENSG00000108788	MLX	386	226	370	598	382	332
ENSG00000108797	CNTNAP1	35	46	49	222	88	54
ENSG00000108799	EZH1	411	451	399	613	536	318
ENSG00000108819	PPP1R9B	277	329	348	312	383	235
ENSG00000108821	COL1A1	1042	1818	2719	9441	2662	3367
ENSG00000108826	MRPL27	476	482	448	448	515	370
ENSG00000108828	VAT1	1445	1228	1192	1938	1488	1094
ENSG00000108829	LRRC59	1413	1198	1353	1975	1555	1231
ENSG00000108840	HDAC5	462	525	451	563	536	392
ENSG00000108846	ABCC3	42	69	65	117	69	54
ENSG00000108848	LUC7L3	304	338	308	675	492	235
ENSG00000108854	SMURF2	326	302	325	400	480	269
ENSG00000108861	DUSP3	990	783	1074	1262	1067	887
ENSG00000108883	EFTUD2	727	579	732	1034	710	601
ENSG00000108946	PRKAR1A	2099	1769	2321	2419	2567	1651
ENSG00000108950	FAM20A	23	26	33	60	33	21
ENSG00000108953	YWHAE	1966	1052	2118	3408	1805	1604
ENSG00000108960	MMD	2575	1568	2871	2944	2603	1955
ENSG00000108963	DPH1	174	192	193	188	225	174
ENSG00000108984	MAP2K6	85	64	80	74	77	55
ENSG00000109016	DHRS7B	516	500	499	453	558	469
ENSG00000109046	WSB1	275	358	357	639	635	314
ENSG00000109062	SLC9A3R1	90	104	73	102	110	74
ENSG00000109065	NAT9	200	314	151	229	287	120
ENSG00000109066	TMEM104	308	231	316	659	320	275
ENSG00000109079	TNFAIP1	310	248	362	511	389	316
ENSG00000109083	IFT20	201	170	199	157	230	163
ENSG00000109084	TMEM97	726	392	686	653	555	494
ENSG00000109089	CDR2L	178	288	231	289	276	219
ENSG00000109099	PMP22	930	617	1084	1329	879	826
ENSG00000109103	UNC119	104	156	116	171	178	132
ENSG00000109107	ALDOC	819	934	725	774	913	666
ENSG00000109111	SUPT6H	571	496	725	1510	698	569
ENSG00000109113	RAB34	364	421	269	410	409	277
ENSG00000109118	PHF12	95	84	121	204	127	107
ENSG00000109133	TMEM33	671	480	838	825	756	594
ENSG00000109171	SLAIN2	413	212	334	598	368	279
ENSG00000109180	OCIAD1	929	725	962	977	1151	704
ENSG00000109184	DCUN1D4	460	261	392	546	400	261
ENSG00000109189	USP46	327	249	410	535	369	304
ENSG00000109220	CHIC2	43	59	72	68	85	53
ENSG00000109270	LAMTOR3	254	199	294	225	304	214
ENSG00000109320	NFKB1	229	234	239	657	454	304
ENSG00000109323	MANBA	517	480	608	561	649	483
ENSG00000109332	UBE2D3	2501	1806	2655	2377	2668	1987
ENSG00000109339	MAPK10	780	550	925	727	880	715
ENSG00000109381	ELF2	271	202	252	309	336	188
ENSG00000109390	NDUFC1	177	128	175	159	191	139
ENSG00000109436	TBC1D9	694	577	810	1141	836	639
ENSG00000109445	ZNF330	297	298	280	243	344	209
ENSG00000109458	GAB1	146	94	159	135	185	127
ENSG00000109466	KLHL2	208	195	220	229	253	154
