id	sym	wt_1	wt_2	wt_3	IFNgR_KO_1	IFNgR_KO_2	IFNgR_KO_3
ENSMUSG00000036109	Mbnl3	131	142	156	140	233	192
ENSMUSG00000036111	Lmo1	41	33	265	72	73	175
ENSMUSG00000036112	Metap2	1866	1719	1946	1939	3591	2293
ENSMUSG00000036114	Rpp25l	422	329	401	405	586	451
ENSMUSG00000036120	Rfxank	307	244	262	288	474	314
ENSMUSG00000036138	Acaa1a	1209	1057	781	1107	1698	1481
ENSMUSG00000036155	Mgat5	1727	1494	2872	1600	2606	1718
ENSMUSG00000036158	Prickle1	90	80	938	147	133	103
ENSMUSG00000036160	Surf6	759	487	704	642	1106	733
ENSMUSG00000036167	Pphln1	1518	1096	1388	1145	2200	1198
ENSMUSG00000036168	Ccdc38	4	11	23	2	4	6
ENSMUSG00000036172	Cd200r3	40	17	9	44	77	115
ENSMUSG00000036180	Gatad2a	2427	2273	2295	2292	3852	3135
ENSMUSG00000036181	Hist1h1c	8594	8174	9462	10587	15911	13422
ENSMUSG00000036186	Fam69b	21	10	106	27	21	12
ENSMUSG00000036188	Ankmy2	394	338	622	484	834	556
ENSMUSG00000036197	Gxylt1	599	479	578	506	942	561
ENSMUSG00000036199	Ndufa13	2185	1807	2205	2286	3227	2711
ENSMUSG00000036202	Rif1	1402	1185	2260	1087	2082	1377
ENSMUSG00000036206	Sh3bp4	124	209	246	107	147	128
