id	sym	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_WNT5A_1	MCF7_WNT5A_2	MCF7_WNT5A_3
ENSG00000146755	TRIM50	2	0	1	1	1	2
ENSG00000146757	ZNF92	749	744	768	568	819	741
ENSG00000146776	ATXN7L1	689	944	646	447	814	739
ENSG00000146802	TMEM168	1966	2537	2154	1436	2544	2225
ENSG00000146826	C7orf43	1074	1093	1279	863	1024	1161
ENSG00000146828	SLC12A9	3874	3616	3346	2737	3602	3700
ENSG00000146830	GIGYF1	5747	6875	4467	3786	5239	6154
ENSG00000146833	TRIM4	1807	2205	1696	1302	1982	1769
ENSG00000146834	MEPCE	5809	7115	6089	3653	6746	6553
ENSG00000146839	ZAN	1	3	0	0	2	3
ENSG00000146842	TMEM209	1855	1753	1543	1357	1897	1744
ENSG00000146856	AGBL3	63	96	68	45	77	80
ENSG00000146857	STRA8	0	0	0	0	1	0
ENSG00000146858	ZC3HAV1L	141	155	134	149	156	156
ENSG00000146859	TMEM140	385	371	337	256	380	325
ENSG00000146872	TLK2	5276	5422	5301	3898	5591	5547
ENSG00000146904	EPHA1	1118	1090	925	787	1157	995
ENSG00000146909	NOM1	2489	2436	2320	1867	2613	2314
ENSG00000146910	CNPY1	1	1	1	3	3	3
ENSG00000146918	NCAPG2	12493	16907	14401	9310	16631	15798
ENSG00000146938	NLGN4X	1	0	2	0	1	1
ENSG00000146950	SHROOM2	1794	2148	1440	1241	1794	1586
ENSG00000146955	RAB19	14	19	10	14	12	15
ENSG00000146963	C7orf55-LUC7L2	1981	2133	1805	1327	2129	2027
ENSG00000146966	DENND2A	24	40	27	15	23	15
ENSG00000147003	TMEM27	47	44	41	43	49	52
ENSG00000147010	SH3KBP1	672	677	635	540	736	656
ENSG00000147027	TMEM47	4	9	4	1	8	6
ENSG00000147036	LANCL3	8	16	15	17	23	18
ENSG00000147041	SYTL5	7618	8939	4855	5578	8530	6157
ENSG00000147044	CASK	2978	3068	2334	2337	3139	2418
ENSG00000147050	KDM6A	2263	2422	2218	1599	2341	2332
ENSG00000147059	SPIN2A	55	76	54	37	52	47
ENSG00000147065	MSN	11	6	5	1	5	5
ENSG00000147081	AKAP4	0	1	0	0	0	0
ENSG00000147082	CCNB3	9	7	7	4	7	13
